Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-02-23 00:00:00+09:00,613.37,616.35,611.98,615.52,426300,0.0,0.0
2015-02-24 00:00:00+09:00,616.66,621.73,616.27,621.31,472900,0.0,0.0
2015-02-25 00:00:00+09:00,625.12,625.26,616.57,616.57,479900,0.0,0.0
2015-02-26 00:00:00+09:00,618.06,618.37,615.02,617.08,487100,0.0,0.0
2015-02-27 00:00:00+09:00,620.65,625.2,620.06,624.56,503300,0.0,0.0
2015-03-02 00:00:00+09:00,627.61,628.03,621.75,621.81,507100,0.0,0.0
2015-03-03 00:00:00+09:00,625.53,626.24,624.29,625.64,502400,0.0,0.0
2015-03-04 00:00:00+09:00,627.27,631.32,627.09,630.35,528500,0.0,0.0
2015-03-05 00:00:00+09:00,633.07,633.58,629.41,631.43,485600,0.0,0.0
2015-03-06 00:00:00+09:00,634.52,635.87,632.5,635.84,551600,0.0,0.0
2015-03-09 00:00:00+09:00,636.83,636.83,628.83,629.26,503300,0.0,0.0
2015-03-10 00:00:00+09:00,632.54,633.52,617.89,621.99,571100,0.0,0.0
2015-03-11 00:00:00+09:00,617.52,623.24,616.43,619.61,470100,0.0,0.0
2015-03-12 00:00:00+09:00,622.55,628.29,621.47,628.15,490400,0.0,0.0
2015-03-13 00:00:00+09:00,631.74,634.97,631.5,634.25,530700,0.0,0.0
2015-03-16 00:00:00+09:00,636.47,636.69,633.86,635.4,556600,0.0,0.0
2015-03-17 00:00:00+09:00,638.92,639.0,634.55,636.05,524000,0.0,0.0
2015-03-18 00:00:00+09:00,638.41,639.7,628.94,628.99,556600,0.0,0.0
2015-03-19 00:00:00+09:00,633.56,633.64,620.52,631.81,559000,0.0,0.0
2015-03-20 00:00:00+09:00,633.69,640.09,632.57,640.08,578700,0.0,0.0
2015-03-23 00:00:00+09:00,643.55,644.01,640.29,640.29,530100,0.0,0.0
2015-03-24 00:00:00+09:00,640.5,642.43,638.46,641.87,525800,0.0,0.0
2015-03-25 00:00:00+09:00,644.69,651.06,644.69,651.05,534700,0.0,0.0
2015-03-26 00:00:00+09:00,647.17,649.62,640.56,642.53,551800,0.0,0.0
2015-03-27 00:00:00+09:00,645.93,646.43,637.71,640.12,592400,0.0,0.0
2015-03-30 00:00:00+09:00,643.4,646.78,641.47,646.74,467300,0.0,0.0
